LAB|XAUUSD|5|first=1784498400000|from=1784678400000|last=1789160100000|nD=37|uIn=4
V06|137|44|458.7|-520.6|146.3|136.2|7490.3|0
V07|178|51|493.1|-684.3|190.6|218.9|9234.4|0
V08|164|49|508.1|-637.6|175.4|139.6|9801.8|0
V09|110|35|347.3|-402.6|117.6|96.3|6250.2|0
V10|181|54|597.4|-720.9|193.7|168.9|9222.4|0
V11|198|62|490.4|-670.6|211.6|228|8105.7|0
V12|71|27|165.5|-194.6|76.1|67.1|1417.5|0
V13|165|51|504.7|-639.6|176.3|159.2|7223.8|0
V14|158|49|484.6|-586|168.9|140.5|7176|0
V15|169|47|469.4|-680|180.5|234.9|8606.3|0
V16|71|27|133.1|-194.6|76.1|82.8|1169.1|0
V17|232|83|560.9|-739.4|248.3|201.1|8710.7|0
V18|193|51|464.8|-715.8|206.5|300.9|11479.3|0
V19|298|117|516.1|-794.8|319|288.8|8712.3|0
V20|96|35|260.3|-329.2|102.9|99.6|6021.2|0
V21|85|26|280.2|-321.4|90.9|71.1|6993.1|0
V22|81|30|243.1|-273.9|86.8|87.7|4998.6|0
V23|118|38|324.5|-494.8|126.6|170.3|6686.2|0
V24|86|26|339.7|-387.2|92.1|127.8|9706.3|0
V25|144|44|401.5|-623.6|154.2|228.6|10845.6|0
V26|465|221|449.1|-1052.2|498.1|614.2|17228.9|0
V27|186|76|283.2|-470|199.6|220|5645.3|0
V28|707|239|780.8|-1535.9|758.6|755.2|23281.4|0
V29|553|138|800.4|-1390.6|593.8|599.6|21409.2|0
V30|314|49|675.1|-944.9|336.6|344.3|18044.8|0
V31|54|15|39.4|-120.9|58|81.8|573.9|0
V32|227|77|428.6|-696.8|242.7|307.6|7296.8|0
LAB|XAUUSD|5|first=1720994400000|from=1721174400000|last=1725494100000|nD=36|uIn=0
V01|146|41|357.4|-571.6|143.5|221.3|5379|0
V02|177|58|409.1|-593.1|173.7|194.4|8841.6|0
V03|191|79|424.4|-607.5|187.6|195.9|8861.6|0
V04|169|59|445.1|-605.7|165.9|205.5|6094|0
V05|126|33|376.2|-522.3|124|166.9|8870.5|0
V06|139|40|339.5|-531.4|136.6|205.5|6012.4|0
V07|155|43|367.9|-610.7|152.3|265.9|8314.5|0
V08|146|42|382.6|-599.2|143.3|226.1|8349.7|0
V09|101|33|276.1|-368|99.1|134.8|4463.7|0
V10|165|47|424.7|-666.1|162.2|288.6|8445.4|0
V11|170|54|418.7|-555|167.1|179.6|10425|0
V12|72|21|150.9|-214.3|70.7|90|2238|0
V13|149|43|368.2|-583.1|146.4|221.9|5777.1|0
V14|134|39|323|-515.9|131.7|217.5|5757.9|0
V15|146|45|389.7|-558.4|143.6|209.8|5610.6|0
V16|72|25|142.3|-194.1|70.7|88.8|1593.6|0
V17|225|69|485.5|-789.9|221|330.7|12756.7|0
V18|183|58|476.9|-636.4|180|199.1|12305.7|0
V19|342|128|495.8|-946.3|335.9|466.5|13388.2|0
V20|92|35|272.6|-270|90|60.6|4199.4|0
V21|75|25|301.4|-241.1|73.5|72.4|5859.3|0
V22|76|29|230.3|-226.5|74.4|48.2|2338|0
V23|105|33|289.5|-446.6|102.8|164.6|8324.4|0
V24|85|20|284.9|-418.8|83.2|169.4|9284.7|0
V25|121|37|322.2|-518.9|118.6|200.4|8873.9|0
V26|457|233|509.5|-884.1|448.4|379.7|7902.2|0
V27|178|75|316.4|-444|174.6|143.9|2415.5|0
V28|683|229|809.1|-1384.9|670.6|581.8|15384.8|0
V29|536|127|771.2|-1287.7|526.5|522|17957.8|0
V30|277|37|557.2|-831.9|272|348.4|18266.7|0
V31|63|24|63.9|-114.1|61.9|74.4|643.5|0
V32|210|75|405.3|-615.5|206.2|237.6|8252.4|0
LAB|XAUUSD|5|first=1713736800000|from=1713916800000|last=1718236500000|nD=36|uIn=0
V01|158|46|442.2|-584.1|148.2|167.7|10542.7|0
V02|195|59|409.8|-634.5|182.9|224.7|6744.8|0
V03|195|78|420.9|-601.5|182.9|189.2|7050.2|0
V04|167|52|409.8|-597.6|156.7|196.5|10051.2|0
V05|128|27|345|-541.2|119.9|217.5|9697.9|0
V06|124|40|406.4|-456.1|116.3|115.8|9636.2|0
V07|174|47|445.2|-661.3|163.2|216.1|12858.9|0
V08|141|45|457|-556|132.3|160.8|13323|0
V09|96|29|222.4|-354|90.1|134.2|4934.8|0
V10|166|48|462.6|-655.8|155.7|197|14242.1|0
V11|180|55|407.5|-581.5|168.9|185.3|10403.2|0
V12|71|18|132.5|-192.7|66.6|72.7|2202.8|0
V13|161|44|428.3|-611|151|200.3|10837.7|0
V14|156|47|446|-551|146.4|137.1|9759|0
V15|162|48|453.6|-593.3|152|158.3|10813.6|0
V16|71|24|128.4|-171.6|66.6|65|1802.2|0
V17|224|80|537.1|-677.9|210.3|179.7|12848|0
V18|171|49|402.9|-616.7|160.5|226.5|11229.8|0
V19|344|134|541.7|-871.8|322.2|347.7|13592.8|0
V20|99|39|272.1|-288.7|92.7|51.5|3560.4|0
V21|81|29|311.2|-255.4|76|58.4|6174.6|0
V22|86|33|225.2|-255.6|80.5|78.3|2837.5|0
V23|109|36|292.4|-407|102.1|173.9|8246.6|0
V24|95|24|316.4|-395.4|89|159.9|11891.4|0
V25|126|47|396.8|-446.7|118|92.5|11258.2|0
V26|424|210|426.6|-799|397.1|378|8452|0
V27|165|65|230.3|-388.8|154.8|196.7|4054|0
V28|687|222|702.9|-1375.7|643.9|685.4|18930.1|0
V29|514|127|693.2|-1191.3|481.9|499.5|17790.2|0
V30|259|33|488.4|-767.9|242.9|309.7|20951.6|0
V31|52|13|39|-116.5|48.9|78.4|472|0
